source_page,discovered_url,normalized_url,final_url,internal_or_external,resource_type,status_code,result,response_time_ms,content_type,depth,page_title,error_message,timestamp
https://europlan.be/nl,/cdn-cgi/l/email-protection#5930373f36193c2c2b3629353837773b3c,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,54.4,text/html,2,,,2026-04-18T13:26:28.725174+00:00
https://europlan.be/nl,https://get.teamviewer.com/europlan,https://get.teamviewer.com/europlan,https://get.teamviewer.com/europlan,external,anchor,404,BROKEN_4XX,738.2,text/html,2,,,2026-04-18T13:26:29.463930+00:00
https://europlan.be/nl,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,723.4,text/html; charset=utf-8,2,,,2026-04-18T13:26:32.901892+00:00
https://europlan.be/nl,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,677.7,text/html; charset=UTF-8,2,,,2026-04-18T13:26:33.579772+00:00
https://europlan.be/nl,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,43.6,text/html; charset=UTF-8,2,,,2026-04-18T13:26:35.334120+00:00
https://europlan.be/fr,/cdn-cgi/l/email-protection#fd94939b92bd98888f928d919c93d39f98,https://europlan.be/cdn-cgi/l/email-protection,https://europlan.be/cdn-cgi/l/email-protection,internal,anchor,404,BROKEN_4XX,53.9,text/html,3,,,2026-04-18T13:26:42.190465+00:00
https://europlan.be/fr,https://get.teamviewer.com/europlan,https://get.teamviewer.com/europlan,https://get.teamviewer.com/europlan,external,anchor,404,BROKEN_4XX,718.9,text/html,3,,,2026-04-18T13:26:42.909923+00:00
https://europlan.be/fr,https://fonts.googleapis.com,https://fonts.googleapis.com/,https://fonts.googleapis.com/,external,stylesheet,404,BROKEN_4XX,48.4,text/html; charset=utf-8,3,,,2026-04-18T13:26:46.013587+00:00
https://europlan.be/fr,https://fonts.gstatic.com,https://fonts.gstatic.com/,https://fonts.gstatic.com/,external,stylesheet,404,BROKEN_4XX,591.5,text/html; charset=UTF-8,3,,,2026-04-18T13:26:46.605213+00:00
https://europlan.be/fr,/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,https://europlan.be/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,internal,script,404,BROKEN_4XX,49.0,text/html; charset=UTF-8,3,,,2026-04-18T13:26:48.159568+00:00
